ruta,lineas,main,class,plugin,tests,importado,ultima_mod,estado
motor/brain/advisor.py,40,False,True,False,False,True,2026-07-23 18:45:26 +0200,activo
motor/brain/alerts.py,119,False,True,False,False,True,2026-07-23 21:59:27 +0200,activo
motor/brain/analyzer.py,35,False,True,False,False,True,2026-07-23 21:59:27 +0200,activo
motor/brain/auto_maintain.py,332,False,True,False,False,False,2026-07-24 00:50:43 +0200,dormido
motor/brain/executor.py,112,False,True,False,False,True,2026-07-23 21:59:27 +0200,activo
motor/brain/observer.py,93,False,True,False,False,True,2026-07-23 21:59:27 +0200,activo
motor/brain/web_adapter.py,91,False,True,False,False,True,2026-07-23 23:51:28 +0200,activo
motor/cli/__init__.py,2,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
motor/cli/cmd_diag.py,156,False,False,False,False,True,2026-07-26 19:15:38 +0200,libreria
motor/cli/cmd_pipeline.py,47,False,False,False,False,True,2026-07-25 15:19:11 +0200,libreria
motor/cli/cmd_status.py,133,False,False,False,False,True,2026-07-25 15:19:11 +0200,libreria
motor/cli/cmd_ura.py,558,False,False,False,False,True,2026-08-04 01:46:59 +0200,libreria
motor/cli/cmd_utils.py,58,False,False,False,False,True,2026-07-25 15:19:11 +0200,libreria
